"","sample","PC1","PC2","label","tissue","diet","batch"
"15","Johanna-Johanna-LFQ intensity 4442_22_PBS_m",-1.87247380002627,5.24192553706823,"iWAT-Standard Diet","iWAT","CD","Johanna"
"16","Johanna-Johanna-LFQ intensity 4443_22_PBS_m",-15.9445320265832,0.0949381634579794,"iWAT-Standard Diet","iWAT","CD","Johanna"
"17","Johanna-Johanna-LFQ intensity 4444_22_PBS_f",-19.201920828929,1.01593132933794,"iWAT-Standard Diet","iWAT","CD","Johanna"
"18","Johanna-Johanna-LFQ intensity 4445_22_PBS_f",14.1776555883577,-4.92742174172886,"iWAT-Standard Diet","iWAT","CD","Johanna"
"19","Johanna-Johanna-LFQ intensity 4446_22_PBS_f",61.8045948232705,-15.6169623787028,"iWAT-Standard Diet","iWAT","CD","Johanna"
"20","Johanna-Johanna-LFQ intensity 4453_22_PBS_f",-17.7342745026069,-5.89716256953172,"iWAT-Standard Diet","iWAT","CD","Johanna"
"21","Johanna-Johanna-LFQ intensity 4454_22_PBS_f",-28.7801684800442,-2.24318765517318,"iWAT-Standard Diet","iWAT","CD","Johanna"
"22","Johanna-Johanna-LFQ intensity 4455_22_PBS_f",-7.04043237322612,-9.86082455131984,"iWAT-Standard Diet","iWAT","CD","Johanna"
"23","Johanna-Johanna-LFQ intensity 4456_22_PBS_m",31.4590912231203,9.3150643709826,"iWAT-Standard Diet","iWAT","CD","Johanna"
"24","Johanna-Johanna-LFQ intensity 4457_22_PBS_m",-5.90614589405666,-0.36203847734266,"iWAT-Standard Diet","iWAT","CD","Johanna"
"25","Johanna-Johanna-LFQ intensity 4458_22_PBS_m",8.36840699371966,-4.29062194730776,"iWAT-Standard Diet","iWAT","CD","Johanna"
"26","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_1_1857",3.07454961418352,-15.792197549901,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"27","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_2_2127",9.70762858700198,-5.68433696529713,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"28","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_3_2145",34.293925070699,-12.7214415090041,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"29","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_4_3253",14.934710289716,-9.08698964541666,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"30","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_5_4222",11.8955477480705,-12.7955587855937,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"31","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_1_1096",5.20711158850665,-10.9035199408887,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"32","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_2_1544",-9.74049587227041,-11.568645188168,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"33","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_3_2005",25.8445100044041,-12.0868947975655,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"34","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_4_3416",18.3116334921984,-12.7455854009074,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"35","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_5_4224",-0.227489628669116,-8.46149375197388,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"36","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_1_1106",-10.1021742691172,-7.6741025959667,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"37","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_2_1541",-18.0681128893649,-8.80661722294981,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"38","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_3_2002",-14.5947791105678,-10.0582853121498,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"39","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_4_3421",-9.87014286073624,-6.92888663380921,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"40","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_5_4226",-12.9547718379798,-6.84122441095092,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"41","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_1_1427",-1.10677713789545,-13.2074111242162,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"42","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_2_1857",-14.9362087290994,-13.0574591498829,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"43","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_3_2127",9.61764709390172,-4.03072521092153,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"44","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_4_2145",27.1816519902375,2.96438142039769,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"45","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_5_3253",2.6655437799879,-10.2154844587598,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"46","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_6_4222",9.16775620380508,-12.0542672942344,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"47","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_1_1096",10.1610491669838,-18.6731394070818,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"48","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_2_1544",1.09486950455151,-10.9033143875828,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"49","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_3_2005",14.7368392924663,-0.719583695034519,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"50","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_4_2179",19.2616653178317,4.30994920053796,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"51","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_5_3416",7.74936651990616,-18.1046122873122,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"52","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_6_4224",3.2406677299836,-16.5897856713744,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"53","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_1_1106",6.0125486952574,-19.3819495479923,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"54","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_2_1541",-6.72706026437392,-9.61082974236939,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"55","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_3_2002",-7.02754707151706,-11.5174029223181,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"56","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_4_2172",1.03919883525476,-3.39483403563528,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"57","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_5_3421",-3.89514019367443,-10.9102757364664,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"58","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_6_4226",-4.1768785744682,-19.4080630068664,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"59","Melina-Melina-Cold1",10.5590713404664,16.1090620677126,"BAT-CD","BAT","CD","Melina"
"60","Melina-Melina-Cold2",14.4743458398538,16.1798360733506,"BAT-CD","BAT","CD","Melina"
"61","Melina-Melina-Cold3",7.35951823999448,14.6362886205648,"BAT-CD","BAT","CD","Melina"
"62","Melina-Melina-Cold4",9.50996210259641,15.3276538437727,"BAT-CD","BAT","CD","Melina"
"63","Melina-Melina-Cold5",5.22447597591551,19.6210524226894,"BAT-CD","BAT","CD","Melina"
"64","Melina-Melina-Cold6",3.69533472767002,14.2813703636808,"BAT-CD","BAT","CD","Melina"
"65","Melina-Melina-RT1",-40.4568271741685,-15.677438545349,"BAT-CD","BAT","CD","Melina"
"66","Melina-Melina-RT2",-34.1009163827108,-10.6967111179793,"BAT-CD","BAT","CD","Melina"
"67","Melina-Melina-RT3",-2.56706772292811,4.42017382340381,"BAT-CD","BAT","CD","Melina"
"68","Melina-Melina-RT4",-5.54326559568905,9.87661295007659,"BAT-CD","BAT","CD","Melina"
"69","Melina-Melina-RT5",2.74378222206884,10.4036506538209,"BAT-CD","BAT","CD","Melina"
"70","Melina-Melina-RT6",0.76262049583129,11.229791505644,"BAT-CD","BAT","CD","Melina"
"71","Oeckl-Oeckl-iBAT.T23.WT_1",0.607623239745125,13.2005962223643,"BAT-Standard Diet","BAT","CD","Oeckl"
"72","Oeckl-Oeckl-iBAT.T23.WT_2",0.616469272391511,13.2330292413518,"BAT-Standard Diet","BAT","CD","Oeckl"
"73","Oeckl-Oeckl-iBAT.T23.WT_3",1.16954824511977,13.7028075500544,"BAT-Standard Diet","BAT","CD","Oeckl"
"74","Oeckl-Oeckl-iBAT.T23.WT_4",2.2355732692024,14.6697307110551,"BAT-Standard Diet","BAT","CD","Oeckl"
"75","Oeckl-Oeckl-iWAT.T23.WT_1",-6.84096522478734,-2.96953534898736,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"76","Oeckl-Oeckl-iWAT.T23.WT_2",-9.02041858636731,-3.88784084132945,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"77","Oeckl-Oeckl-iWAT.T23.WT_3",-6.39693969208467,-1.41954130865531,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"78","Oeckl-Oeckl-iWAT.T23.WT_4",-7.97396241182974,-2.48418961382803,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"79","Rhabi-Rhabi-VEH1B",-0.0915311884393233,5.7396980661875,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"80","Rhabi-Rhabi-VEH1W",-4.81994914588298,2.09229375286124,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"81","Rhabi-Rhabi-VEH2B",0.0080452721682167,5.64493869495993,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"82","Rhabi-Rhabi-VEH2W",-4.95425525276192,2.1413572591519,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"83","Rhabi-Rhabi-VEH3B",0.0690232784366626,5.74300458648441,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"84","Rhabi-Rhabi-VEH3W",-4.82419903581152,2.11403011645264,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"85","Rhabi-Rhabi-VEH4B",0.0726814103800013,5.66770597537603,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"86","Rhabi-Rhabi-VEH4W",-4.64833735957959,2.08955054136227,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"87","Rhabi-Rhabi-VEH5B",0.0921872266849074,5.77069816081659,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"88","Rhabi-Rhabi-VEH5W",-4.90644948355577,2.03140531964723,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"89","WangBAT-WangBAT-Intensity of BAT_CD1",-5.92861600843165,4.12165047951046,"BAT-Standard Diet","BAT","CD","WangBAT"
"90","WangBAT-WangBAT-Intensity of BAT_CD2",-5.8043793587551,3.97456799075556,"BAT-Standard Diet","BAT","CD","WangBAT"
"91","WangBAT-WangBAT-Intensity of BAT_CD3",-3.48978418404583,5.52578614895285,"BAT-Standard Diet","BAT","CD","WangBAT"
"92","WangBAT-WangBAT-Intensity of BAT_CD4",4.3768602167385,4.53424743638567,"BAT-Standard Diet","BAT","CD","WangBAT"
"93","WangBAT-WangBAT-Intensity of BAT_CD5",4.99704431353718,5.4318404672585,"BAT-Standard Diet","BAT","CD","WangBAT"
"94","WangBAT-WangBAT-Intensity of BAT_HFD1",-4.64263980153148,8.73397108133955,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"95","WangBAT-WangBAT-Intensity of BAT_HFD2",2.88500248890327,8.60339835336048,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"96","WangBAT-WangBAT-Intensity of BAT_HFD3",8.46708803301228,9.35925891227279,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"97","WangBAT-WangBAT-Intensity of BAT_HFD4",-0.984548117123341,9.49361968940919,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"98","WangBAT-WangBAT-Intensity of BAT_HFD5",-2.63063752312958,11.5010373089543,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"99","WangWAT-WangWAT-Intensity of sWAT_CD1",6.30432685819506,6.77676791483143,"WAT-Standard Diet","WAT","CD","WangWAT"
"100","WangWAT-WangWAT-Intensity of sWAT_CD2",6.37521366244984,4.40187196781284,"WAT-Standard Diet","WAT","CD","WangWAT"
"101","WangWAT-WangWAT-Intensity of sWAT_CD3",-0.287778508974231,4.76845999753529,"WAT-Standard Diet","WAT","CD","WangWAT"
"102","WangWAT-WangWAT-Intensity of sWAT_CD4",-2.28076839182689,7.92228421261288,"WAT-Standard Diet","WAT","CD","WangWAT"
"103","WangWAT-WangWAT-Intensity of sWAT_CD5",-3.70888440363126,7.86463756777105,"WAT-Standard Diet","WAT","CD","WangWAT"
"104","WangWAT-WangWAT-Intensity of sWAT_HFD1",-11.1994595512538,-4.20741649988416,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"105","WangWAT-WangWAT-Intensity of sWAT_HFD2",-3.41998481793199,-6.6376217134495,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"106","WangWAT-WangWAT-Intensity of sWAT_HFD3",-3.48801810401991,-8.63874762320513,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"107","WangWAT-WangWAT-Intensity of sWAT_HFD4",-11.6628894821726,-5.85803448509791,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"108","WangWAT-WangWAT-Intensity of sWAT_HFD5",-10.4064840621709,-6.9166339423025,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"109","Williams-Williams-Whole CellBAT_101",-8.79445402895332,7.51220565977539,"BAT-Standard Diet","BAT","CD","Williams"
"110","Williams-Williams-Whole CellBAT_45",-2.90847892824508,6.70689806074442,"BAT-Standard Diet","BAT","CD","Williams"
"111","Williams-Williams-Whole CellBAT_66",-7.97353369281381,3.79821235391363,"BAT-Standard Diet","BAT","CD","Williams"
"112","Williams-Williams-Whole CellBAT_68",-1.96506492789547,4.27643380504656,"BAT-Standard Diet","BAT","CD","Williams"
"113","Williams-Williams-Whole CellBAT_73",1.07666180138424,4.74757374912497,"BAT-Standard Diet","BAT","CD","Williams"
"114","Williams-Williams-Whole CellBAT_80",0.412736379099051,6.13620686994014,"BAT-Standard Diet","BAT","CD","Williams"
"115","Williams-Williams-Whole CellBAT_C57",0.762616066001816,5.13659805799596,"BAT-Standard Diet","BAT","CD","Williams"
"116","Williams-Williams-Whole CellBAT_DBA",-1.78505403967558,5.82190584703507,"BAT-Standard Diet","BAT","CD","Williams"
