"","sample","PC1","PC2","label","tissue","diet","batch"
"1","00Query-00Query-VEH1W",-2.47230920617727,3.56333143680456,"NA-NA",NA,NA,"00Query"
"2","Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity",2.0225534147366,7.02922898391528,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"3","Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity",-10.0759301758434,9.21584789778216,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"4","Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity",9.03177791497684,0.280601474629959,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"5","Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity",-0.857979498820493,7.59005433362691,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"6","Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity",36.1299734401768,-0.939284284662972,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"7","Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity",-22.4797263101892,11.2295754872956,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"8","Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity",-35.4633744276507,10.082202921625,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"9","Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity",14.9142180834124,2.87534107745771,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"10","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1",8.18152400697972,1.31627829547543,"BAT-AdLib","BAT","CD","Harney"
"11","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2",-7.25710013420753,-4.21343551727673,"BAT-AdLib","BAT","CD","Harney"
"12","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3",-1.8014635775554,2.26218466471524,"BAT-AdLib","BAT","CD","Harney"
"13","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4",-5.60659238792314,4.53084320170097,"BAT-AdLib","BAT","CD","Harney"
"14","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5",10.2825162612072,5.68611529971316,"BAT-AdLib","BAT","CD","Harney"
